cohortDefinitionId,timeId,countValue,covariateId,averageValue,sd,minValue,maxValue,p10Value,p25Value,medianValue,p75Value,p90Value,mean,startDayTemporalCharacterization,endDayTemporalCharacterization
2895,1,18772,3025315529702,74.5943010919577,17.378605297080483,2.48000002,215,54,62.5,73,84,95.5,0.4943252139565504,-730,-1
2895,1,17210,3038553531702,28.622919798029635,5.619048389067078,3.93000007,59.11000061,22.05999947,24.85000038,27.98999977,31.51000023,35.34000015,0.4531928900592495,-730,-1
2895,NA,37975,1002,63.5509150757077,20.870966256189014,0,112,34,47,64,83,90,1,NA,NA
2895,NA,72299,9202911,37.10657011191574,23.52280152494611,0,555,13,16,24,38,60,1.90385780118499,NA,NA
2895,NA,22022,262911,0.6392100065832784,0.35948154693386747,0,6,0,0,1,1,1,0.5799078341013825,NA,NA
2897,NA,150187,1008,4852.518466977835,1074.5355219262133,0,5239,3998,5195,5212,5226,5233,1,NA,NA
2897,NA,150187,1009,22.796407145758288,14.975587657099407,0,83,5,10,20,35,45,1,NA,NA
2897,2,652,3025315529702,64.78966266590491,24.785418144651,3.24000001,154,4.84000015,6.96000004,10.38000011,15.19999981,15.19999981,0.004341254569303602,0,30
2897,1,22792,3036277582702,158.29832441295105,19.812578261459386,1.34000003,203,147,154,160,168,174,0.15175747568031853,-730,-1
2897,1,68499,3025315529702,71.57731456262384,18.004861767283153,2.48000002,215,51.79999924,60,70,81.5,93,0.4560914060471279,-730,-1
2897,2,184,3036277582702,139.95570648038043,43.207604161762205,1.85000002,192,1.85000002,1.85000002,50.5,55,57.5,0.0012251393263065379,0,30
2897,2,495,3038553531702,26.735070679414143,5.922510454473918,11.86999989,57.52999878,13.69999981,14.89000034,14.89000034,15.34000015,15.67000008,0.0032958911224007406,0,30
2897,1,62471,3038553531702,27.65548700569576,5.778118324473249,1.63,59.77999878,20.86000061,23.72999954,27.05999947,30.82999992,34.70999908,0.41595477637878114,-730,-1
2897,NA,150187,1002,58.45948051429218,22.288613933099384,0,116,29,41,56,79,89,1,NA,NA
2897,NA,254752,9202911,30.90206209592042,24.51189063386434,0,1335,9,12,20,36,58,1.696232030735017,NA,NA
2897,NA,48641,262911,0.36807446716426856,0.4272012524540562,0,9,0,0,0,1,1,0.3238695759286756,NA,NA
2899,NA,117990,1008,3747.1628951606067,1224.3658729887288,0,4473,1458,3730,4390,4408,4429,1,NA,NA
2899,NA,117990,1009,826.1805491990847,82.47496446420128,0,978,800,820,839,852,861,1,NA,NA
2899,1,57041,3038553531702,23.524302501169508,6.708290853766567,1.58000004,60,15.18000031,16.98999977,22.21999931,26.5,29.32999992,0.4834392745147894,-730,-1
2899,1,37069,3036277582702,135.57344357386333,32.817321820737035,1,200,86,103,136,160,166,0.314170692431562,-730,-1
2899,2,4156,3036277582702,132.3811236808205,35.890740061593235,1.60000002,195,65.5,72.5,79.5,84,86,0.035223324010509365,0,30
2899,1,60671,3025315529702,55.788212319767105,28.22422080052113,1,192,13.93000031,23.5,56,70.5,79,0.5142045936096279,-730,-1
2899,2,7077,3038553531702,24.0761381771909,6.864168213954711,4.5500001900000004,54.86000061,13.51000023,14.10999966,14.67000008,15.100000380000001,15.32999992,0.05997965929316044,0,30
2899,2,8639,3025315529702,55.35651463720801,29.141326373809243,3.57999992,170,8.43000031,10.38000011,12.350000380000001,14.30000019,15.399999619999999,0.07321806932790914,0,30
2899,NA,117990,1002,37.40158488007458,21.25079385601148,0,118,7,19,39,52,64,1,NA,NA
2899,NA,230244,9202911,20.515713196033563,14.72968217012244,0,545,5,7,13,24,39,1.9513857106534451,NA,NA
2934,NA,6478,1008,5034.168107440568,728.0636421115933,29,5239,5186,5192,5200,5209,5217,1,NA,NA
2934,NA,6478,1009,20.007255325717814,11.607740592166916,0,131,7,11,18,26,37,1,NA,NA
2934,1,971,3036277582702,158.0875489338414,16.40128122524839,1.35000002,191,146,152,160,166,172,0.14989194195739425,-730,-1
2934,1,3783,3038553531702,28.30381970573883,5.384844728079135,13.02999973,59.11000061,22.03000069,24.82999992,27.72999954,31.10000038,35.04000092,0.5839765359678913,-730,-1
2934,1,4132,3025315529702,72.58574300771781,15.913068480055847,6,167,53,62,71.5,82,92,0.6378511886384687,-730,-1
2934,NA,6478,1002,82.78218585983328,10.627405243186429,12,108,69,77,85,90,94,1,NA,NA
2934,NA,4689,262911,0.8320469280642173,0.45492219880240437,0,7,0,0,1,1,1,0.7238345168261809,NA,NA
2934,NA,12226,9202911,48.73294226613152,33.54623932079371,0,502,15,21,34,56,87,1.8873108984254399,NA,NA
2935,NA,1010,1008,4305.559405940594,494.62173725881,0,4471,4367,4386,4397,4414,4435,1,NA,NA
2935,NA,1010,1009,440.08415841584156,273.7766733031328,0,951,50,188,449,696,806,1,NA,NA
2935,2,106,3025315529702,66.70188680650944,14.819857916447617,39.5,102.5,41.20000076,46,50,52.5,53.5,0.10495049504950495,0,30
2935,1,159,3036277582702,158.77169809402517,13.91298524073934,69.5,190,145,150,160,164.69999695,169,0.15742574257425743,-730,-1
2935,1,706,3025315529702,70.6140934692493,15.837290405335402,7.26999998,165,51,58,66.5,75,81.90000153,0.699009900990099,-730,-1
2935,1,664,3038553531702,27.53188249432229,5.337026778068943,15.05000019,53.61999893,21.299999239999998,23.53000069,25.96999931,28.88999939,31.10000038,0.6574257425742575,-730,-1
2935,NA,1010,1002,77.73564356435644,15.379584914502782,1,111,55,69,82,89,93,1,NA,NA
2935,NA,1982,9202911,54.362376237623764,38.704946415069415,0,405,14,21,39,64,100,1.9623762376237623,NA,NA
