cohortDefinitionId,timeId,countValue,covariateId,averageValue,sd,minValue,maxValue,p10Value,p25Value,medianValue,p75Value,p90Value,mean,startDayTemporalCharacterization,endDayTemporalCharacterization
2887,2,312,42869607554702,93.41346153846153,6.280082193109713,53,100,85,89,93,95,96,0.22018348623853212,0,30
2887,1,667,3027018541702,78.37331334332833,15.549883161380972,41,142,60,66,74,80,85,0.47071277346506707,-730,-1
2887,2,246,3027018541702,88.0691056910569,17.253668666757605,49,145,58,63,64,68,70,0.17360621030345802,0,30
2887,1,446,3020460751702,15.009865470852018,31.36340874445488,0,250,1,3,4,10,22,0.3147494707127735,-730,-1
2887,1,546,42870529753702,3.03021978021978,4.272264589447876,0.5,100,1.7,2.1,2.8,3.4,4,0.3853211009174312,-730,-1
2887,1,145,3008486729702,16.18,3.3859308583870664,10,34,12.9,14,16,17.8,19,0.10232886379675371,-730,-1
2887,1,105,4208414751702,27.54952380952381,40.12753496380088,0,250,5,5,7,18,35,0.07410021171489062,-730,-1
2887,1,454,3015183752702,16.90308370044053,19.552258366921247,0,127,2,5,9,21,34,0.3203952011291461,-730,-1
2887,1,625,40762351753702,8.35568,0.994860459226988,3.9,13.6,7,7.7,8.3,8.8,9.3,0.4410726887791108,-730,-1
2887,1,547,42868692753702,1.6297806215722122,1.2098852408833265,0.34,19.67,0.75,0.96,1.32,1.94,2.6,0.3860268172194778,-730,-1
2887,1,487,3023399578702,2.382012320328542,4.25281055166172,0.01,88.84,0.74,1.2,1.79,2.56,3.38,0.34368383909668315,-730,-1
2887,1,811,3004249876702,132.47718865598029,19.264639390656118,81,230,106,115,126,135,140,0.5723359209597741,-730,-1
2887,1,479,3000285753702,140.09394572025053,2.7952337057661016,127,148,136,138,140,141,143,0.33803810868031053,-730,-1
2887,2,241,3012888876702,76.95435684647303,11.594628412421418,50,137,60,60,65,70,70,0.17007762879322513,0,30
2887,1,301,3026910645702,36.52823920265781,38.79823921978837,6,310,13,17,23,38,57,0.21242060691601977,-730,-1
2887,1,398,3012516751702,37.58643216080402,128.479305361331,0.1,1536,3,3,6,16.5,63.7,0.28087508821453777,-730,-1
2887,1,393,3036277546702,1.6995419847328244,0.10447106275028141,1,1.94,1.58,1.64,1.7,1.76,1.82,0.2773465067043049,-730,-1
2887,2,241,3004249876702,130.30705394190872,20.004299330425066,85,200,95,104,110,115,119,0.17007762879322513,0,30
2887,1,761,40762887749702,83.6084099868594,32.14218629317822,37,375,57,65,75,88,101,0.5370501058574453,-730,-1
2887,1,380,3020682612702,6.612868421052632,20.60140551430167,0,204.56,0.3,0.6,1,2.8,11.1,0.2681721947776994,-730,-1
2887,1,174,3013721645702,27.201149425287355,20.101183321524132,8,229,15,18,22,28,35,0.12279463655610445,-730,-1
