cohortDefinitionId,timeId,countValue,covariateId,averageValue,sd,minValue,maxValue,p10Value,p25Value,medianValue,p75Value,p90Value,mean,startDayTemporalCharacterization,endDayTemporalCharacterization
2899,1,5918,3035320751702,11.422129097668115,33.25615569326336,0.03,877.7,0.51,1.1,2.5,5,7.5,0.09707527516690452,-730,-1
2899,2,162,44790183795702,84.97777777777777,20.51482648208515,17,152,43,51.32,57,62,64.1,0.002657349539884848,0,30
2899,2,490,46236952117702,90.19530612244898,24.73198896423327,15.4,259,39,51.9,61,66,68,0.00803766218854059,0,30
2899,1,2634,46236952117702,89.57727790432799,21.744728454615675,11,343,61,74.7,86,96,103.3,0.04320653511146105,-730,-1
2899,1,11490,3035941564702,29.25080417754565,3.496617981891791,1.44,43.9,26.6,28,29.1,30,30.6,0.18847497662516607,-730,-1
2899,2,3198,3035941564702,28.957273295809912,4.609522538901445,1.49,41.2,22.5,26,27,28,28,0.052458048324393484,0,30
2899,1,2234,3038553531702,25.246996418979393,6.460641753736005,11.83,56.2,16.57,20.2,23.39,26.01,27.89,0.036645178222856484,-730,-1
2899,2,608,3038553531702,25.41481907894736,5.137886407679582,12.5,61.72,15.03,15.92,17.66,19.36,20.08,0.009973262470678937,0,30
2899,2,3674,3039827848702,1050.4199782253677,38891.42989657499,41,2330000,139,160,179,192,199,0.06026606302183291,0,30
2899,1,13909,3039827848702,429.31098569271694,7843.03420469123,18,500000,171,202,236,267,290,0.2281547824090022,-730,-1
2899,1,9944,3050920840702,5.583976267095749,9.962307873852748,0.7,444,3.4,4.1,4.9,5.7,6.3,0.16311533225070945,-730,-1
2899,2,1756,3050920840702,5.390330296127564,4.774467169950921,1.5,194,2.7,3,3.37,3.65,3.7,0.028804356740974032,0,30
2899,2,366,4261078000702,1.7132786885245903,0.8616484131438669,0.8,6.51,0.88,0.9,0.9,0.91,0.92,0.0060036415530731755,0,30
2899,1,8841,40757503840702,54.61566225540098,18.425548568819707,0.52,160,34,41,50,59,66,0.14502239063038236,-730,-1
2899,2,1376,40757503840702,48.67302325581397,17.06215452713467,0.75,129,1.4,25,32,35,36.29,0.022571067696799698,0,30
